Ref.No.,C,Cr,W,Si,V,Ta,Ti,N,B,TT,Tt(min),YS,US,TE
1,0.12,8.73,2.09,0.25,0.25,0,0,0,0,750,60,549,659,12.3
1,0.1,8.72,2.09,0.23,0.23,0.07,0,0,0,750,60,544,652,12.3
1,0.092,8.32,0,0.15,0.2,0,0,0.054,0,760,60,539,630,13.3
2,0.1,9.3,0.93,0.11,0.22,0.094,0,0.002,0,650,120,674,783,13
2,0.1,9.3,0.93,0.11,0.22,0.094,0,0.002,0,750,120,538,657,15
2,0.1,9.3,0.95,0.13,0.23,0,0.056,0.002,0,650,120,573,698,16
2,0.1,9.3,0.95,0.13,0.23,0,0.056,0.002,0,750,120,464,605,23
3,0.1,9.3,2.22,0.12,0.052,0,0.0056,0.43,0,780,90,560,700,22
3,0.096,9.04,2.41,0.043,0.21,0,0.026,0.077,0,780,90,520,690,22
4,0.11,8.7,1,0,0.19,0.1,0,0,0,760,90,500,620,27
5,0.1,8.96,1.1,0.086,0.21,0.074,0,0,0,760,90,500,640,30
6,0.12,5.04,2.01,0.23,0.24,0,0,0.011,0,700,60,714,823,8.03
6,0.12,5.04,2.01,0.23,0.24,0,0,0.011,0,750,60,558,742,10
6,0.11,4.67,2.11,0.2,0.25,0.05,0,0.008,0,700,60,805,910,7.3
6,0.11,4.67,2.11,0.2,0.25,0.05,0,0.008,0,750,60,627,770,8.2
6,0.12,4.65,2.14,0.19,0.25,0.1,0,0.009,0,700,60,769,888,7.5
6,0.12,4.65,2.14,0.19,0.25,0.1,0,0.009,0,750,60,597,746,9.3
6,0.096,4.97,3,0.12,0.23,0,0,0.009,0,700,60,718,830,7.6
6,0.096,4.97,3,0.12,0.23,0,0,0.009,0,750,60,561,706,9.5
6,0.11,4.63,3.01,0.22,0.25,0.05,0,0.01,0,700,60,816,928,7.5
6,0.11,4.63,3.01,0.22,0.25,0.05,0,0.01,0,750,60,558,733,9.9
6,0.11,4.61,2.87,0.21,0.25,0.05,0,0.01,0.005,700,60,651,837,7.5
6,0.11,4.61,2.87,0.21,0.25,0.05,0,0.01,0.005,750,60,585,758,10.7
6,0.11,4.61,2.99,0.21,0.24,0.05,0,0.011,0.013,700,60,621,819,7.9
6,0.11,4.61,2.99,0.21,0.24,0.05,0,0.011,0.013,750,60,582,758,10.7
6,0.12,7.01,2.01,0.19,0.24,0.05,0,0.014,0,700,60,762,897,7.9
6,0.12,7.01,2.01,0.19,0.24,0.05,0,0.014,0,750,60,583,713,10.4
6,0.12,6.98,2.97,0.19,0.24,0.05,0,0.014,0,700,60,780,912,8.1
6,0.12,6.98,2.97,0.19,0.24,0.05,0,0.014,0,750,60,597,756,11.1
6,0.12,7.02,1.98,0.19,0.24,0.05,0,0.013,0.004,700,60,744,868,7.5
6,0.12,7.02,1.98,0.19,0.24,0.05,0,0.013,0.004,750,60,590,731,9.4
6,0.12,8.95,2.01,0.23,0.24,0,0,0.029,0,700,60,792,923,7.6
6,0.12,8.95,2.01,0.23,0.24,0,0,0.029,0,750,60,596,737,9.1
6,0.11,8.9,2.01,0.21,0.23,0.06,0,0.017,0,700,60,824,956,6.6
6,0.11,8.9,2.01,0.21,0.23,0.06,0,0.017,0,750,60,646,787,7.9
6,0.094,8.38,2.02,0.21,0.23,0.06,0,0.014,0.005,700,60,810,938,7.5
6,0.094,8.38,2.02,0.21,0.23,0.06,0,0.014,0.005,750,60,655,771,8.5
7,0.08,9.04,1,0.09,0.22,0.06,0,0.0226,0.0005,763,90,557,688,17
7,0.093,9.07,1.01,0.09,0.22,0.06,0,0.02,0.0005,763,90,492,650,17
7,0.126,9.03,1.39,0.06,0.24,0.06,0,0.03,0,763,90,508,658,17.2
7,0.12,8.99,2.06,0.06,0.24,0.06,0,0.02,0,763,90,521,676,17.4
8,0.12,8.5,1.5,0,0.25,0.1,0,0.0067,0,740,90,557,679,21.6
8,0.11,8.55,1.48,0,0.25,0.1,0,0.025,0,740,90,563,671,22
9,0.11,8.86,2.07,0.05,0.24,0.11,0,0,0,750,120,527,660,23
9,0.12,8.79,2.01,0.22,0.24,0.11,0,0,0,750,120,538,679,23
9,0.12,8.84,2.05,0.77,0.24,0.11,0,0,0,750,120,561,730,23
10,0.045,8.83,1.02,0.034,0.28,0.18,0,0.017,0.0064,750,120,637,728,21.1
10,0.049,8.82,0.99,0.038,0.28,0.17,0,0.024,0,750,120,544,657,24.1
10,0.049,8.8,0.98,0.036,0.28,0.19,0,0.037,0.0065,750,120,592,695,19.9
10,0.048,8.81,1.96,0.035,0.3,0.2,0,0.061,0.00039,750,120,515,640,26.9
10,0.071,8.87,2.08,0.4,0.3,0.13,0,0.077,0,750,120,519,668.8,27.9
11,0.1,9,1.1,0.25,0.3,0.14,0,0.06,0,750,30,652,,20
11,0.1,8.6,1.3,0.1,0.2,0.1,0.15,0.003,0,750,30,787,,14.3
11,0.1,8.6,1.3,0.15,0.1,0.1,0.15,0.004,0,750,30,749,,17.1
12,0.055,9.2,1.97,0.12,0.22,0.2,0,0.04,0,750,30,514,629,28
12,0.11,8.94,1.2,0.109,0.198,0.078,0.022,0.0034,0,750,30,740,845,15.7
12,0.096,8.54,1.28,0.101,0.21,0.1,0.14,0.003,0,750,30,720,821,15
12,0.11,8.44,1.28,0.097,0.19,0.29,0.138,0.003,0,750,30,696.7,780.7,14
12,0.103,8.51,1.29,0.091,0.203,0.55,0.145,0.003,0,750,30,673.3,760,14.3
12,0.1,8.32,1.03,0.101,0.17,0.085,0.152,0.003,0,750,30,733,821,15.5
